Block,Value,Token Name,Additional Value,Highlight Target,Public Tag,Age,Transaction Type
20059749,23060.08803407493,Gho Token,0x6522e820,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x000...e49,2024-06-10 6:49:59,IN
20059729,49513.2207487647,USDe,0x00000000,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0x4eE9775D...9b2Ad4811,2024-06-10 6:45:59,OUT
20059303,1045.0832531185617,Gho Token,Exec With Sig,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF0d4c12A...d26C58b8D,2024-06-10 5:20:23,OUT
20057902,101538.9019278496,Gho Token,Mooo Z1089603480,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0x635EF005...236578595,2024-06-10 0:39:11,OUT
20057902,101386.02560328263,USDe,Mooo Z1089603480,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,CoW Protocol: GPv2Settlement,2024-06-10 0:39:11,IN
20057776,108200.64197983251,Gho Token,Mooo Z1089603480,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xfb00001B...B4CE68d00,2024-06-10 0:13:35,OUT
20057776,107993.94116374124,USDe,Mooo Z1089603480,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,CoW Protocol: GPv2Settlement,2024-06-10 0:13:35,IN
20050761,1021519604.0578543,Tesla,Execute,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,Uniswap V2: TSLA 41,2024-06-09 0:42:23,IN
20049068,59330.289796184334,USDe,0xac2c4908,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,Uniswap V3: USDe-USDC,2024-06-08 19:02:35,OUT
20049068,59476.13325453711,Gho Token,0xac2c4908,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x000...e49,2024-06-08 19:02:35,IN
20047997,74761.81632523949,Gho Token,Exit Vault,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xB1113cf8...072D85172,2024-06-08 15:26:47,OUT
20047410,39904.451383760825,USDe,Exchange,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,"USDe(USDe)",2024-06-08 13:28:23,OUT
20045643,24943.431936194553,USDe,Exchange,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,"USDe(USDe)",2024-06-08 7:33:11,OUT
